,color,duration,gross,genres,facenumber_in_poster,language,content_rating,budget,title_year,imdb_score,aspect_ratio,director_avg_gross,director_avg_score,director_movies,actor_average_score,actor_average_gross,actor_movies,gross_class
964,Color,101.0,66002004.0,Adventure|Comedy|Family|Fantasy|Romance|Sport,1.0,English,G,50000000.0,2005.0,4.7,1.85,96793.0,5.3,1,2.8611111111111107,11210210.0,5,6
965,Color,113.0,54997476.0,Crime|Drama|Mystery|Thriller,0.0,English,R,50000000.0,2001.0,6.3,2.35,30510663.0,6.699999999999998,2,2.918518518518518,24833052.41481481,10,5
967,Color,124.0,52752475.0,Drama|Thriller,0.0,English,R,50000000.0,2002.0,6.7,1.85,86093512.33333333,6.3,3,0.6555555555555556,3009743.888888888,1,5
968,Color,109.0,55092830.0,Action|Adventure|Sci-Fi|Thriller,1.0,English,PG-13,60000000.0,2011.0,6.1,1.85,65472219.25,6.9,4,0.0,0.0,0,5
969,Color,128.0,50815288.0,Drama|Thriller,0.0,English,R,50000000.0,2005.0,7.0,2.35,10719367.0,4.9,1,2.55,39910265.68518519,16,5
970,Color,144.0,52822418.0,Action|Drama|Thriller|War,0.0,English,R,50000000.0,2016.0,7.4,2.35,181535009.91666663,6.574999999999998,12,2.140740740740741,10415560.37037037,5,5
971,Color,95.0,50150619.0,Adventure|Animation|Comedy|Family|Fantasy|Romance,1.0,English,PG,50000000.0,2014.0,7.3,2.35,0.0,0.0,0,3.40982905982906,41301562.12962963,21,5
972,Color,105.0,48745150.0,Crime|Thriller,1.0,English,PG-13,50000000.0,2006.0,5.8,2.35,0.0,0.0,0,2.6666666666666665,41869423.96491229,24,5
973,Color,121.0,50007168.0,Action|Crime|Drama|Thriller,0.0,English,R,50000000.0,1997.0,6.7,2.35,65054491.0,7.250000000000001,4,3.2855555555555562,30220212.81111111,10,5
974,Color,125.0,48154732.0,Action|Drama|War,1.0,English,R,50000000.0,1997.0,5.8,2.35,27648401.33333333,7.133333333333333,3,3.4092592592592594,28066487.592592593,15,5
975,Color,129.0,48265581.0,Drama|Mystery|Thriller,1.0,English,R,50000000.0,1997.0,7.8,2.35,77799470.0,7.5,2,0.0,0.0,0,5
977,Color,118.0,44737059.0,Comedy|Sport,1.0,English,PG-13,50000000.0,2000.0,6.5,1.85,0.0,0.0,0,3.5129629629629626,30421581.814814813,18,5
978,Color,113.0,56724080.0,Comedy,7.0,English,R,50000000.0,2012.0,6.7,1.85,38087366.0,6.6,1,4.485185185185184,39774111.82592592,18,5
